district,total_cases,active_cases,total_recoveries,total_deaths,sample_tested,people_in_quarantine
Ahmedabad,207138,54722,149288,3128,4060936,62604
Amreli,7840,1393,6381,66,343228,105610
Anand,6577,1232,5315,30,302664,2736
Aravalli,3719,1364,2298,57,200897,1227
Banaskantha,10998,1033,9845,120,344001,7452
Bharuch,8881,1773,7023,85,276591,9123
Bhavnagar,17666,5370,12059,237,738534,66739
Botad,2000,399,1561,40,156441,981
Chhota Udaipur,2829,630,2169,30,147640,980
Dahod,8281,1618,6631,32,367466,14712
Dang,740,129,597,14,50661,901
Devbhoomi Dwarka,2783,1065,1663,55,134804,34
Gandhinagar,17911,3074,14666,171,522261,13085
Gir Somnath,5998,1861,4094,43,206204,806
Jamnagar,29630,5809,23465,356,537645,28294
Junagadh,13815,3019,10621,175,472182,4292
Kutch,10030,2770,7143,117,529942,2854
Kheda,7931,1126,6771,34,368012,8042
Mahisagar,6355,2094,4213,48,211111,978
Mehsana,21053,5590,15345,118,387464,1436
Morbi,6025,929,5012,84,270689,838
Narmada,4935,1128,3798,9,150504,933
Navsari,5489,1386,4087,16,243185,8563
Panchmahal,8810,2026,6735,49,279212,4409
Patan,9990,1534,8355,101,232034,1437
Porbandar,1815,310,1494,11,151446,1310
Rajkot,49656,4226,44825,605,1430825,37384
Sabarkantha,6887,1735,5028,124,277321,3137
Surat,129818,12661,115424,1733,4090780,31145
Surendranagar,7257,1168,5962,127,304868,16872
Tapi,3926,1346,2565,15,151998,724
Vadodara,61156,10318,50198,640,1202040,10039
Valsad,4503,1320,3145,38,278500,14025
